city,year,urban_cells,valid_UHI_cells,mean_LST,mean_reference_LST,mean_UHI,median_UHI,max_UHI,high_UHI_fraction
Ahmedabad,2022,1747,51,46.9458,45.65723419189453,0.26080771053538615,0.3947792053222585,3.0762176513671875,0.0045792787635947334
Ahmedabad,2023,1747,51,43.062054,43.127899169921875,-0.7697584114822673,-0.5708084106445312,4.248600006103516,0.0011448196908986834
Ahmedabad,2024,1747,51,45.077705,42.601524353027344,2.448206658456842,2.5703506469726705,5.9798240661621165,0.017172295363480253
Ahmedabad,2025,1747,51,44.266605,40.16105651855469,4.09401844997032,4.06060791015625,7.331653594970696,0.026903262736119062
Ahmedabad,2026,1747,51,45.099773,41.85126876831055,3.4783711152918197,3.6692428588867188,9.353412628173828,0.02346880366342301
Bengaluru,2022,2876,32,37.04104,39.145904541015625,-0.7459284067153928,-0.5571365356445312,1.968780517578125,0.0
Bengaluru,2023,2876,32,34.235466,32.95416259765625,1.6650028824806193,2.5011367797851562,7.386341094970703,0.006606397774687065
Bengaluru,2024,2876,32,41.63146,44.57714080810547,-0.8438251018524201,-0.9305572509765696,3.426563262939446,0.0006954102920723226
Bengaluru,2025,2876,32,39.378166,36.41490936279297,3.656425356864928,3.4342536926269567,6.694190979003899,0.010083449235048678
Bengaluru,2026,2876,32,39.22905,40.57805633544922,-0.3199589252471944,-0.47425079345703125,2.5361709594726562,0.0013908205841446453
Bhubaneswar,2022,515,183,38.331753,37.97181701660156,0.2322276589648971,0.0683593749999929,4.882640838623047,0.031067961165048542
Bhubaneswar,2023,515,183,39.233356,38.29652786254883,1.3155731034409157,1.4389877319335866,6.957378387451179,0.1145631067961165
Bhubaneswar,2024,515,183,40.09025,36.872920989990234,3.0607633121678086,2.9907684326171946,11.829769134521484,0.2737864077669903
Bhubaneswar,2025,515,183,36.924736,33.82404708862305,3.1543948064084915,3.0608367919921875,8.77747726440429,0.3067961165048544
Bhubaneswar,2026,515,183,37.884045,36.1978645324707,1.9451228282490716,1.8320579528808594,8.676643371582038,0.14563106796116504
Chennai,2022,2017,28,44.444134,43.51755142211914,1.2351278577532072,1.0407886505126953,4.997146606445305,0.00495785820525533
Chennai,2023,2017,28,43.59879,39.506507873535156,1.5108855111258357,1.3800239562988281,5.494464874267571,0.005453644025780862
Chennai,2024,2017,28,41.512516,37.55652618408203,2.4592655726841497,2.2815284729003906,6.747173309326165,0.0074367873078829945
Chennai,2025,2017,28,39.147705,37.1019287109375,0.5174645696367536,0.9348297119140625,5.800380706787109,0.0039662865642042635
Chennai,2026,2017,28,42.88459,40.55754852294922,3.1862039566040026,2.9788036346435582,7.1880950927734375,0.008924144769459593
Dehradun,2022,433,151,38.66952,31.817670822143555,6.674962871122044,6.52499961853027,13.084180831909183,0.3418013856812933
Dehradun,2023,433,151,34.092762,29.36695098876953,4.3291592882169,4.18023681640625,10.158355712890625,0.3094688221709007
Dehradun,2024,433,151,38.238586,30.517114639282227,6.791706817829055,7.253038406372074,11.822931289672852,0.3325635103926097
Dehradun,2025,433,151,40.035656,34.33333206176758,5.456689127233644,5.0757598876953125,11.115402221679688,0.3279445727482679
Dehradun,2026,433,151,38.388107,32.89093017578125,4.976884804024602,4.92878341674804,10.68131256103515,0.3210161662817552
Delhi,2022,4680,0,39.90282,,,,,0.0
Delhi,2023,4680,0,38.951504,,,,,0.0
Delhi,2024,4680,0,41.29992,,,,,0.0
Delhi,2025,4680,0,39.682285,,,,,0.0
Delhi,2026,4680,0,41.806133,,,,,0.0
Guwahati,2022,316,69,33.880558,27.657939910888672,6.009672137274258,5.726894378662109,10.194244384765629,0.21835443037974683
Guwahati,2023,316,69,31.757668,26.700895309448242,4.734229654505633,4.525457382202145,8.24768257141113,0.21835443037974683
Guwahati,2024,316,69,32.11788,27.18796157836914,5.56149106785871,5.3098945617675675,9.226947784423825,0.21835443037974683
Guwahati,2025,316,69,33.182693,26.437707901000977,6.978654999663864,6.60019493103027,11.067548751831055,0.21835443037974683
Guwahati,2026,316,69,35.405403,28.153553009033203,7.344730432482733,7.0274505615234375,11.149581909179688,0.21835443037974683
Hyderabad,2022,2877,8,41.15488,44.235336303710945,0.2700238227844194,0.8066520690917933,3.305225372314446,0.0010427528675703858
Hyderabad,2023,2877,8,41.78561,41.35052871704102,2.546852111816402,2.47122764587402,7.659782409667962,0.0013903371567605145
Hyderabad,2024,2877,8,43.412395,46.6074447631836,-1.003403663635261,-1.203145980834968,1.7978782653808523,0.0
Hyderabad,2025,2877,8,40.85402,41.277042388916016,1.9256253242492676,2.147369384765625,3.7683639526367188,0.0013903371567605145
Hyderabad,2026,2877,8,39.734848,42.05464172363281,0.8523683547973633,0.7690544128417969,3.6658248901367188,0.0013903371567605145
Jaipur,2022,1532,80,47.22441,51.09188461303711,-1.906763267517091,-1.8337669372558594,2.1789894104003906,0.0006527415143603133
Jaipur,2023,1532,80,43.333973,50.35700988769531,-0.03469176292419549,0.32983970642089844,5.530357360839837,0.015013054830287207
Jaipur,2024,1532,80,44.542767,48.02421188354492,-0.1856407642364503,-0.2956581115722585,3.2078132629394602,0.006527415143603133
Jaipur,2025,1532,80,42.83047,46.51344680786133,-1.8203295707702634,-1.9260520935058523,1.6987571716308665,0.0
Jaipur,2026,1532,80,41.286766,46.32374572753906,-3.0622449874877935,-3.2214813232421875,2.3498916625976562,0.0006527415143603133
Kolkata,2022,1836,231,38.12066,35.81333541870117,2.3778401081696217,2.6130752563476634,8.1724853515625,0.08986928104575163
Kolkata,2023,1836,231,39.042885,35.097259521484375,2.589099710637873,2.9719696044921946,8.500617980957031,0.0855119825708061
Kolkata,2024,1836,231,44.022095,39.658607482910156,3.0458859530362217,2.666057586669929,12.14080810546875,0.08061002178649238
Kolkata,2025,1836,231,37.350693,34.66488265991211,1.9974835383427607,1.7534446716308665,7.3384857177734375,0.051742919389978215
Kolkata,2026,1836,231,36.413597,32.88067626953125,2.505806654562681,2.184112548828125,7.858028411865227,0.06862745098039216
Mumbai,2022,1200,77,41.423077,34.82552719116211,6.239463360278637,6.114837646484382,11.347827911376953,0.06416666666666666
Mumbai,2023,1200,77,43.086525,35.18100357055664,7.9117827972808445,7.588001251220703,14.14034652709961,0.06416666666666666
