model,validation_year,test_year,val_MAE,val_RMSE,val_R2,test_MAE,test_RMSE,test_R2
XGBoost,2025,2026,1.9508267641067505,2.5008970558550336,0.25387758016586304,2.369037628173828,2.9130119495925926,0.19117242097854614
RandomForest,2025,2026,1.8267675226545543,2.324385980691878,0.35548208863944897,2.2498625015855755,2.7677036707596145,0.2698525240777211
ExtraTrees,2025,2026,1.953796421156594,2.501503240933763,0.2535157722414404,2.3723925181031467,2.927319797081474,0.1832074866602339
