city,model,MAE,RMSE,R2,train_rows,test_rows,train_blocks,test_blocks
Raipur,MeanBaseline,2.2286670207977295,2.7088141576952407,-0.3634073734283447,3000,685,56,14
Raipur,XGBoost,1.7069103717803955,2.164979045141005,0.12908726930618286,3000,685,56,14
Raipur,RandomForest,1.6939848831377071,2.093901573055801,0.18533369863606441,3000,685,56,14
Raipur,ExtraTrees,1.6420940721935415,2.0392903300174745,0.22727431972929002,3000,685,56,14
Mumbai,MeanBaseline,2.211984157562256,2.689882597364383,-0.27893877029418945,5090,910,40,10
Mumbai,XGBoost,1.6096394062042236,1.9777537137554715,0.3086029887199402,5090,910,40,10
Mumbai,RandomForest,1.5536271873939393,1.9093710830013064,0.3555877688437795,5090,910,40,10
Mumbai,ExtraTrees,1.5368094606055926,1.8850382833674137,0.37190773886217565,5090,910,40,10
Jaipur,MeanBaseline,2.935459613800049,3.981381357562129,-0.0006672143936157227,6215,1445,53,14
Jaipur,XGBoost,2.0802762508392334,2.826321274315465,0.49572765827178955,6215,1445,53,14
Jaipur,RandomForest,2.0936526612199287,2.7712001552183105,0.5152053018526991,6215,1445,53,14
Jaipur,ExtraTrees,2.089611365999333,2.7640649688556764,0.5176985518106059,6215,1445,53,14
Bengaluru,MeanBaseline,2.839247465133667,4.53308846896957,-0.031180739402770996,11475,2905,58,15
Bengaluru,XGBoost,2.040236473083496,2.8905431787406433,0.5807188749313354,11475,2905,58,15
Bengaluru,RandomForest,2.0503091699201343,2.9879962927650134,0.5519705586313279,11475,2905,58,15
Bengaluru,ExtraTrees,2.0272655449225825,2.915439977582264,0.5734650188362342,11475,2905,58,15
