model,MAE,RMSE,R2
ExtraTrees,1.8239451109302625,2.400958389955707,0.4225864073095764
RandomForest,1.8478934754179273,2.4406172760101077,0.40202433199096776
XGBoost,1.8592656254768372,2.464899302988146,0.378534197807312
