feature_set,model,MAE,RMSE,R2
enhanced_7_features,XGBoost,2.6658381521701813,3.4803405693787672,-0.16467568278312683
enhanced_7_features,RandomForest,2.7153790932995587,3.536760343287107,-0.21671184240182098
enhanced_7_features,ExtraTrees,2.7311583604828167,3.565600570947335,-0.2463900251894711
baseline_3_features,RandomForest,2.89037216079193,3.6820888090427135,-0.33923014678401764
baseline_3_features,XGBoost,3.0095421075820923,3.826312890125512,-0.454536497592926
baseline_3_features,ExtraTrees,3.0432148112789066,3.850959682461413,-0.4831510009072576
