model,MAE,RMSE,R2
RandomForest,2.4974754518366447,2.845539399143278,-1.2993133962512198
ExtraTrees,2.5313583260077817,2.887972199074953,-1.3941303462131198
XGBoost,2.60852512717247,3.009480440219549,-1.5500538051128387
