system:index,LST,NDBI,NDVI,NDWI,QA_PIXEL,QA_RADSAT,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SR_QA_AEROSOL,ST_ATRAN,ST_B10,ST_CDIST,ST_DRAD,ST_EMIS,ST_EMSD,ST_QA,ST_TRAD,ST_URAD,.geo,longitude,latitude
728,44.85399890000002,0.0009441720220509852,0.1585490763960018,-0.1727984554328006,21824.0,0.0,9200.0,9823.0,11568.0,11912.0,16401.0,16432.0,13896.0,224.0,5423.0,49445.0,412.0,1728.0,9644.0,93.0,280.0,10247.0,3727.0,"{""type"":""Point"",""coordinates"":[81.57705016633162,21.21647444832546]}",81.57705016633162,21.21647444832546
729,54.29115211999999,0.0278610581145331,0.1497492836676217,-0.1746345390343414,21824.0,0.0,8938.0,9623.5,11278.0,11869.5,16050.5,16970.5,14881.5,224.0,6370.0,52206.0,13964.5,1462.5,9744.0,74.0,228.0,11756.5,3055.0,"{""type"":""Point"",""coordinates"":[81.69264794958264,21.185582180392032]}",81.69264794958264,21.185582180392032
730,47.28592013000002,-0.0035211833748693,0.1451479735060455,-0.1616229294621254,21824.0,0.0,9083.0,9764.0,11261.5,11648.0,15603.5,15494.0,13603.0,224.0,6191.5,50156.5,4940.0,1516.0,9684.0,94.0,272.0,10901.5,3188.0,"{""type"":""Point"",""coordinates"":[81.65515514529277,21.309490135841397]}",81.65515514529277,21.309490135841397
731,55.95401885000001,0.0639741963098277,0.1034184491737696,-0.1426438754945136,21824.0,0.0,9181.5,9880.5,11486.0,12438.5,15308.0,17400.5,15070.0,209.0,6358.5,52692.5,13998.0,1468.0,9684.0,109.0,238.0,11886.0,3068.0,"{""type"":""Point"",""coordinates"":[81.67526281159503,21.16175140279018]}",81.67526281159503,21.16175140279018
732,47.468784200000016,-0.0090182009676463,0.135907221460595,-0.1587919564560024,21824.0,0.0,8975.5,9632.0,11127.5,11660.5,15328.5,15054.5,13229.0,224.0,6185.0,50210.0,622.5,1518.0,9661.5,105.0,278.5,10646.5,3192.0,"{""type"":""Point"",""coordinates"":[81.56435140860603,21.289670940296666]}",81.56435140860603,21.289670940296666
733,48.60185783000003,0.0542905231531067,0.1593540576027829,-0.1889963449397527,21824.0,0.0,9500.0,10090.5,11593.5,12324.5,16997.0,18948.5,16050.5,209.0,6195.0,50541.5,5110.5,1512.5,9730.0,36.0,301.5,11070.0,3181.5,"{""type"":""Point"",""coordinates"":[81.72086643925851,21.26246059507919]}",81.72086643925851,21.26246059507919
734,49.575993530000005,-0.0174893120870579,0.0514801426985139,-0.0508346516185394,21824.0,0.0,8669.5,9076.0,10050.0,10037.0,11126.5,10744.0,10172.5,224.0,6191.5,50826.5,4944.0,1516.5,9705.0,75.0,247.0,11147.0,3189.0,"{""type"":""Point"",""coordinates"":[81.6516242452572,21.323444176594297]}",81.6516242452572,21.323444176594297
735,48.456591979999985,-0.0399577007326837,0.1640667934897484,-0.1605833263086908,21824.0,0.0,8316.0,8781.0,9958.0,9887.0,13768.0,12710.0,10811.0,224.0,6371.0,50499.0,9951.0,1466.0,9591.0,184.0,255.0,11030.0,3062.0,"{""type"":""Point"",""coordinates"":[81.65095518024022,21.28494365319066]}",81.65095518024022,21.28494365319066
736,55.61221684999998,0.054899235580264,0.0980316168515558,-0.1473694867208855,21824.0,0.0,9911.0,10872.0,12633.0,13964.5,17000.0,18975.0,17362.5,209.0,6365.5,52592.5,13931.5,1464.5,9691.5,82.0,231.0,11856.5,3059.5,"{""type"":""Point"",""coordinates"":[81.71499176130106,21.177881572078846]}",81.71499176130106,21.177881572078846
737,56.171063119999985,0.0633883779264214,0.1346902598841442,-0.1840914346117002,21824.0,0.0,9796.0,10787.5,12350.0,13668.0,17923.0,20349.0,17202.5,224.0,6360.0,52756.0,13965.0,1467.0,9724.0,58.0,227.0,11942.0,3064.5,"{""type"":""Point"",""coordinates"":[81.69529836091185,21.158302805007686]}",81.69529836091185,21.158302805007686
