system:index,LST,NDBI,NDVI,NDWI,QA_PIXEL,QA_RADSAT,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SR_QA_AEROSOL,ST_ATRAN,ST_B10,ST_CDIST,ST_DRAD,ST_EMIS,ST_EMSD,ST_QA,ST_TRAD,ST_URAD,.geo,longitude,latitude
183,58.27827245000003,0.0525616614267369,0.1265400680964583,-0.1652536988290823,21824.0,0.0,9272.5,9965.0,11495.5,12442.0,16047.0,17827.5,15099.0,209.0,6357.5,53372.5,14054.0,1469.0,9644.0,86.0,234.0,12109.0,3069.5,"{""type"":""Point"",""coordinates"":[81.64556108209415,21.160304513179764]}",81.64556108209415,21.160304513179764
1123,58.21162106000003,0.0411857458215074,0.0998209408743149,-0.1333569418299069,21824.0,0.0,9130.0,9885.0,11624.5,12442.5,15202.0,16508.0,14211.0,209.0,6358.0,53353.0,14032.0,1469.0,9700.5,49.0,228.0,12149.5,3069.5,"{""type"":""Point"",""coordinates"":[81.65539844870526,21.172087430511276]}",81.65539844870526,21.172087430511276
900,58.10395343000005,0.0698019801980198,0.0906452549095482,-0.1271745650869826,21824.0,0.0,8810.5,9495.0,10912.5,11750.0,14092.5,16207.5,14388.0,224.0,6357.5,53321.5,13946.0,1467.0,9755.0,75.0,232.0,12179.5,3066.0,"{""type"":""Point"",""coordinates"":[81.70915473889407,21.14616332612751]}",81.70915473889407,21.14616332612751
1302,58.09199036000001,0.061683160219187,0.0853088638728597,-0.1249166568615915,21824.0,0.0,8861.5,9563.0,11156.0,12086.5,14341.0,16226.5,14418.5,224.0,6358.5,53318.0,13941.0,1466.5,9671.0,230.0,285.0,12107.0,3064.5,"{""type"":""Point"",""coordinates"":[81.71282574058071,21.142852063279683]}",81.71282574058071,21.142852063279683
987,58.04755610000001,0.0826094266659194,0.1164614807489001,-0.1627155363770355,21824.0,0.0,9428.5,10183.0,11787.5,12954.0,16369.0,19317.0,16725.5,209.0,6357.5,53305.0,13978.5,1467.0,9464.5,624.0,534.0,11929.0,3065.5,"{""type"":""Point"",""coordinates"":[81.69073812901028,21.13260176175202]}",81.69073812901028,21.13260176175202
2130,58.01850293000001,0.0802152742183495,0.117604318040274,-0.1611963906963367,21824.0,0.0,9577.0,10242.5,11666.5,12751.5,16150.5,18967.5,16579.5,224.0,6367.5,53296.5,13987.5,1464.0,9682.0,81.0,232.0,12115.5,3058.5,"{""type"":""Point"",""coordinates"":[81.67804784869047,21.18956390834523]}",81.67804784869047,21.18956390834523
452,58.00824886999999,0.0696801488715346,0.0924303830566087,-0.1310451513100647,21824.0,0.0,9168.0,9783.0,11234.5,12148.5,14623.0,16813.5,14953.0,209.0,6363.5,53293.5,13994.5,1466.0,9696.5,70.0,231.0,12125.0,3062.5,"{""type"":""Point"",""coordinates"":[81.67616344974964,21.174977238181576]}",81.67616344974964,21.174977238181576
916,58.00141283000005,0.0710886536199337,0.1091071599578638,-0.1612827754474506,21824.0,0.0,9831.5,10726.0,12547.0,13954.5,17372.5,20031.5,17327.0,224.0,6353.5,53291.5,14028.5,1470.5,9642.0,112.0,241.0,12074.0,3072.5,"{""type"":""Point"",""coordinates"":[81.66090945151002,21.13998370575383]}",81.66090945151002,21.13998370575383
2142,57.99286777999998,0.0619708447386848,0.0920847847031794,-0.1317588325652841,21824.0,0.0,9071.0,9773.0,11304.5,12250.5,14735.5,16682.5,14846.5,209.0,6361.5,53289.0,13977.5,1466.5,9752.0,65.0,230.0,12168.0,3063.5,"{""type"":""Point"",""coordinates"":[81.68657137075594,21.168106409404682]}",81.68657137075594,21.168106409404682
812,57.99115877000003,0.0685093839339939,0.1035184697727472,-0.1522069736335819,21824.0,0.0,9348.5,9970.0,11567.5,12771.5,15721.0,18033.5,16018.0,192.0,6359.5,53288.5,14004.5,1466.5,9715.5,57.0,229.0,12135.0,3064.0,"{""type"":""Point"",""coordinates"":[81.67520524658227,21.132468350465317]}",81.67520524658227,21.132468350465317
