longitude,latitude,Year,LST,NDVI,NDBI,NDWI,location_id,LST_change,NDVI_change,NDBI_change,NDWI_change,LST_from_2022,NDVI_from_2022,NDBI_from_2022,NDWI_from_2022
81.63335441149856,21.11858290235956,2022,47.38504270999999,0.14436653,0.07071448,-0.19131747,21.118583_81.633354,,,,,0.0,0.0,0.0,0.0
81.63335441149856,21.11858290235956,2023,48.78301289000001,0.09090909,0.02594685,-0.12215995,21.118583_81.633354,1.3979701800000157,-0.053457439999999995,-0.044767629999999996,0.06915751999999999,1.3979701800000157,-0.053457439999999995,-0.044767629999999996,0.06915751999999999
81.63335441149856,21.11858290235956,2024,56.91960949999998,0.113912955,0.07258336,-0.15977536,21.118583_81.633354,8.13659660999997,0.023003865,0.04663651,-0.03761541,9.534566789999985,-0.030453574999999997,0.0018688800000000033,0.031542109999999984
81.63335441149856,21.11858290235956,2025,39.97990238,0.11286225,0.072756335,-0.15561856,21.118583_81.633354,-16.93970711999998,-0.001050704999999999,0.00017297500000000576,0.004156800000000016,-7.405140329999995,-0.031504279999999996,0.002041855000000009,0.03569891
81.63335441149856,21.11858290235956,2026,49.78449275000003,0.09862902,0.08319396,-0.1398079,21.118583_81.633354,9.804590370000028,-0.01423323,0.010437624999999992,0.015810659999999976,2.3994500400000334,-0.045737509999999995,0.012479480000000001,0.05150956999999998
81.62163164820946,21.118770800734413,2022,49.32647807000001,0.11745489,0.07538038,-0.17288789,21.118771_81.621632,,,,,0.0,0.0,0.0,0.0
81.62163164820946,21.118770800734413,2023,52.88463689000002,0.11138996,0.073702954,-0.1611246,21.118771_81.621632,3.55815882000001,-0.00606493000000001,-0.0016774259999999958,0.011763289999999982,3.55815882000001,-0.00606493000000001,-0.0016774259999999958,0.011763289999999982
81.62163164820946,21.118770800734413,2024,60.36497366000003,0.09248644,0.08046606,-0.14628892,21.118771_81.621632,7.480336770000015,-0.018903519999999993,0.006763106000000005,0.014835680000000018,11.038495590000025,-0.024968450000000003,0.005085680000000009,0.02659897
81.62163164820946,21.118770800734413,2025,41.21551661000001,0.13070056,0.081380606,-0.17880861,21.118771_81.621632,-19.149457050000024,0.03821411999999999,0.0009145459999999883,-0.03251969000000002,-8.110961459999999,0.013245669999999987,0.006000225999999997,-0.005920720000000018
81.62163164820946,21.118770800734413,2026,52.37193389000004,0.096673,0.07688471,-0.14242661,21.118771_81.621632,11.156417280000028,-0.03402756,-0.004495895999999999,0.036382,3.0454558200000292,-0.02078189000000001,0.0015043299999999982,0.03046127999999998
81.62154404436265,21.11942788107318,2022,49.49225204000004,0.12605356,0.081647694,-0.1799334,21.119428_81.621544,,,,,0.0,0.0,0.0,0.0
