system:index,LST,NDBI,NDVI,NDWI,QA_PIXEL,QA_RADSAT,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SR_QA_AEROSOL,ST_ATRAN,ST_B10,ST_CDIST,ST_DRAD,ST_EMIS,ST_EMSD,ST_QA,ST_TRAD,ST_URAD,.geo
821,50.30744980999998,-4.585376177207153E-4,0.11695676143971016,-0.13301909403211631,21824.0,0.0,9002.0,9555.5,10852.0,11212.0,14182.0,14169.0,12712.0,224.0,6200.0,51040.5,4969.5,1512.0,9607.0,59.0,246.0,11152.0,3178.0,"{""type"":""Point"",""coordinates"":[81.63266572109482,21.316871018653092]}"
822,49.00518419000002,0.03244862892117184,0.16902012593723728,-0.191945698191106,21824.0,0.0,8918.0,9641.5,11547.5,12108.0,17033.5,18176.0,15171.5,224.0,5893.5,50659.5,5124.0,1597.5,9688.0,76.0,391.0,10926.0,3396.0,"{""type"":""Point"",""coordinates"":[81.68200016305335,21.257663035279315]}"
823,47.171416460000046,0.037116564417177915,0.15158852446988041,-0.17905570371483304,21824.0,0.0,8920.0,9539.0,10928.0,11563.0,15695.0,16905.0,13740.0,224.0,6003.0,50123.0,246.0,1569.0,9756.0,48.0,258.0,10542.0,3320.0,"{""type"":""Point"",""coordinates"":[81.55117492786603,21.35023336656191]}"
824,44.394275210000046,-0.001654310397647203,0.18840527033166743,-0.2056491758545669,21824.0,0.0,9031.0,9530.0,10771.0,11164.5,16348.0,16294.0,13414.5,224.0,6176.5,49310.5,357.0,1520.5,9635.5,91.0,275.0,10395.0,3198.5,"{""type"":""Point"",""coordinates"":[81.56830150756686,21.24778885855756]}"
825,48.27885494000003,0.031108046114867397,0.1044689395881398,-0.14741233910341767,21824.0,0.0,9379.5,10136.5,12005.5,13100.5,16157.0,17194.5,15467.0,224.0,6203.5,50447.0,5397.5,1506.5,9670.0,66.0,286.5,10990.0,3168.0,"{""type"":""Point"",""coordinates"":[81.76207699138159,21.217080909385256]}"
826,49.31622401000004,0.009122205828692907,0.1596576245381459,-0.17417705337168424,21824.0,0.0,8841.5,9491.0,10982.0,11315.0,15614.5,15902.0,13380.5,224.0,6188.5,50750.5,5113.5,1516.0,9653.0,108.0,397.5,11099.0,3188.5,"{""type"":""Point"",""coordinates"":[81.70594683713539,21.258195787653992]}"
827,47.92167185000005,-0.023622316422808695,0.1593681031478685,-0.1665270662485147,21824.0,0.0,8834.0,9433.5,10697.0,10855.5,14971.5,14280.5,12136.5,224.0,6195.0,50342.5,4796.0,1516.0,9645.0,119.0,252.0,10954.0,3187.0,"{""type"":""Point"",""coordinates"":[81.62602181533286,21.36679482864736]}"
828,49.48883402000001,0.04864097308738228,0.16518457752255947,-0.20253314594374927,21824.0,0.0,9360.5,10040.0,11774.0,12720.5,17754.5,19570.0,16114.0,224.0,6196.5,50801.0,5523.0,1508.5,9667.0,32.0,410.0,11118.5,3172.5,"{""type"":""Point"",""coordinates"":[81.75078880834194,21.18282135438451]}"
829,47.689246490000016,0.011707042957042958,0.10898199397463743,-0.13474084163739336,21824.0,0.0,9526.5,10304.0,12069.5,12717.5,15828.5,16203.5,14709.5,209.0,5903.5,50274.5,5207.0,1592.5,9659.0,139.0,323.0,10782.0,3385.5,"{""type"":""Point"",""coordinates"":[81.66583085274593,21.248105895132486]}"
830,47.731971740000006,0.021399959475677615,0.14994780124178098,-0.17614221755989734,21824.0,0.0,9124.0,9690.0,10995.0,11603.0,15696.5,16383.0,14204.5,224.0,6180.0,50287.0,680.0,1519.0,9628.5,136.0,255.5,10657.0,3195.0,"{""type"":""Point"",""coordinates"":[81.51497276494437,21.256389203848453]}"
831,43.72947032000002,-0.048525214081826834,0.19426828289315246,-0.18076114131513155,21824.0,0.0,8576.0,9052.0,10322.0,10037.0,14877.0,13500.0,11435.0,224.0,6011.0,49116.0,582.0,1567.0,9708.0,72.0,255.0,10174.0,3316.0,"{""type"":""Point"",""coordinates"":[81.6293460109263,21.360269265950354]}"
